site_id,nome,municipio,uf,regiao,bioma,origem_lista,ano,lst_media_celsius,temp_n_observacoes,populacao,populacao_tipo_estimativa,emprego_formal_total,numero_empresas,pib_mil_reais,area_vegetacao_densa_ha,area_vegetacao_rala_ha,area_solo_exposto_obras_ha,area_construida_urbana_ha,area_agua_ha,classificador_sensor_usado,faixa_serie
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2013,,,,,,,,608.94,912.87,276.75,2820.51,5392.89,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2014,,,,,,,,587.43,941.49,256.32,2837.07,5395.05,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2015,,,,,,,,533.52,984.06,217.8,2808.9,5394.96,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2016,31.84,43.0,2609716.0,estimativa_intercensitaria,764914.0,59046.0,60088001.0,534.78,962.82,225.99,2899.53,5374.44,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2017,31.3,46.0,2627482.0,estimativa_intercensitaria,757867.0,58323.0,61592347.0,567.81,988.29,226.17,2844.0,5383.53,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2018,31.58,42.0,2643247.0,estimativa_intercensitaria,766815.0,56922.0,66381302.0,581.4,947.43,214.2,2896.74,5377.05,landsat,landsat_pre2019_nao_corrigido
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2019,31.85,42.0,2669342.0,estimativa_intercensitaria,763558.0,60618.0,67401430.0,632.22,966.99,882.56,2133.94,5424.33,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2020,31.19,46.0,2686612.0,estimativa_intercensitaria,729661.0,62532.0,64821582.0,626.16,1003.06,896.42,2103.83,5410.57,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2021,31.71,46.0,2703391.0,estimativa_intercensitaria,754786.0,65610.0,73437739.0,640.51,902.49,993.09,2112.48,5391.47,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2022,30.81,44.0,2428708.0,censo,802592.0,112708.0,81362333.0,643.12,935.06,868.91,2177.34,5415.61,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2023,30.83,45.0,,,794017.0,122950.0,86939832.0,599.84,942.25,882.81,2225.04,5390.1,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2024,30.27,42.0,2574412.0,estimativa_intercensitaria,853909.0,132367.0,,638.88,929.57,874.24,2196.22,5401.13,sentinel2,sentinel2_oficial_2019_2025
angonap-fortaleza,AngoNAP Fortaleza,Fortaleza,CE,Nordeste,Caatinga,sites_validados,2025,28.45,46.0,2578483.0,estimativa_intercensitaria,,,,672.34,968.22,873.61,2122.08,5403.79,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2013,,,,,,,,884.61,4341.96,121.68,4675.14,14.49,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2014,,,,,,,,583.29,4083.66,186.3,5159.16,14.94,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2015,,,,,,,,889.65,4168.71,112.68,4833.9,33.48,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2016,31.23,44.0,219039.0,estimativa_intercensitaria,43916.0,4551.0,11245733.0,621.0,4148.55,117.27,5121.72,30.96,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2017,30.99,44.0,222186.0,estimativa_intercensitaria,45683.0,4340.0,12411319.0,597.33,4018.68,119.7,5275.17,29.16,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2018,31.35,44.0,227353.0,estimativa_intercensitaria,43989.0,4437.0,13154947.0,607.05,4085.64,116.28,5202.18,28.62,landsat,landsat_pre2019_nao_corrigido
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2019,31.62,44.0,230851.0,estimativa_intercensitaria,46222.0,4759.0,14738378.0,941.95,4161.63,1556.93,3321.29,58.24,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2020,32.1,46.0,234259.0,estimativa_intercensitaria,46849.0,5044.0,16386639.0,812.06,4064.09,1865.1,3245.53,53.26,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2021,32.08,46.0,237570.0,estimativa_intercensitaria,48701.0,5502.0,18377822.0,622.74,3872.87,2070.99,3425.32,48.12,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2022,30.41,42.0,236641.0,censo,52612.0,8386.0,21420797.0,675.81,3810.94,1896.37,3598.87,58.05,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2023,30.26,45.0,,,56564.0,9002.0,22163924.0,871.41,3974.44,1504.49,3632.83,56.87,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2024,30.2,46.0,247331.0,estimativa_intercensitaria,58099.0,9701.0,,660.59,3893.92,1766.24,3668.07,51.22,sentinel2,sentinel2_oficial_2019_2025
ascenty-hortolandia,Ascenty Hortolândia (campus),Hortolândia,SP,Sudeste,Mata Atlântica,sites_validados,2025,27.41,45.0,248842.0,estimativa_intercensitaria,,,,508.97,4078.1,2013.79,3391.13,48.05,sentinel2,sentinel2_oficial_2019_2025
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2013,,,,,,,,3522.33,4026.51,220.86,2154.42,60.48,landsat,landsat_pre2019_nao_corrigido
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2014,,,,,,,,3204.0,4118.13,259.29,2282.4,55.62,landsat,landsat_pre2019_nao_corrigido
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2015,,,,,,,,2830.59,4327.74,211.59,2615.31,53.1,landsat,landsat_pre2019_nao_corrigido
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2016,27.32,44.0,405740.0,estimativa_intercensitaria,165524.0,17099.0,40317016.0,3081.15,4074.84,224.64,2518.11,58.05,landsat,landsat_pre2019_nao_corrigido
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2017,27.43,43.0,409497.0,estimativa_intercensitaria,161787.0,17707.0,41084447.0,3013.11,4092.93,219.15,2649.69,53.91,landsat,landsat_pre2019_nao_corrigido
ascenty-jundiai,Ascenty Jundiaí 2,Jundiaí,SP,Sudeste,Mata Atlântica,sites_validados,2018,27.12,44.0,414810.0,estimativa_intercensitaria,164279.0,17788.0,43630306.0,2754.27,4534.65,195.03,2472.84,51.57,landsat,landsat_pre2019_nao_corrigido
